Package,Class,Field,Type,Description Rating,Has Example?
excel,Excel.AutoFilter,"context",Property,Excellent,false
excel,Excel.AutoFilter,"criteria",Property,Great,false
excel,Excel.AutoFilter,"enabled",Property,Good,false
excel,Excel.AutoFilter,"isDataFiltered",Property,Great,false
excel,Excel.AutoFilter,"apply(range, columnIndex, criteria)",Method,Great,false
excel,Excel.AutoFilter,"clearColumnCriteria(columnIndex)",Method,Fine,false
excel,Excel.AutoFilter,"clearCriteria()",Method,Fine,false
excel,Excel.AutoFilter,"getRange()",Method,Good,false
excel,Excel.AutoFilter,"getRangeOrNullObject()",Method,Excellent,false
excel,Excel.AutoFilter,"load(options)",Method,Great,false
excel,Excel.AutoFilter,"load(propertyNames)",Method,Great,false
excel,Excel.AutoFilter,"load(propertyNamesAndPaths)",Method,Great,false
excel,Excel.AutoFilter,"reapply()",Method,Fine,false
excel,Excel.AutoFilter,"remove()",Method,Fine,false
excel,Excel.AutoFilter,"toJSON()",Method,Excellent,false
excel,Excel.AutorunEventCompletedOptions,N/A,Interface,Fine,false
excel,Excel.AutorunEventCompletedOptions,"allowEvent",Property,Excellent,false
excel,Excel.AutorunEventCompletedOptions,"autorunEventType",Property,Excellent,false
excel,Excel.AutorunEventCompletedOptions,"message",Property,Excellent,false
excel,Excel.AutorunEventType,N/A,Enum,Good,false
excel,Excel.AutorunEventType,"onDocumentSave",EnumField,Great,false
excel,Excel.AutorunEventType,"onDocumentSaveAs",EnumField,Great,false
excel,Excel.AutorunEventType,"unknown",EnumField,Great,false
excel,Excel.Base64EncodedImage,N/A,Interface,Fine,false
excel,Excel.Base64EncodedImage,"data",Property,Good,false
excel,Excel.Base64EncodedImage,"type",Property,Great,false
excel,Excel.Base64EncodingType,N/A,Enum,Good,false
excel,Excel.Base64EncodingType,"BMP",EnumField,Great,false
excel,Excel.Base64EncodingType,"GIF",EnumField,Great,false
excel,Excel.Base64EncodingType,"ICO",EnumField,Great,false
excel,Excel.Base64EncodingType,"JPG",EnumField,Great,false
excel,Excel.Base64EncodingType,"PNG",EnumField,Great,false
excel,Excel.Base64EncodingType,"TIF",EnumField,Great,false
excel,Excel.Base64EncodingType,"WEBP",EnumField,Great,false
excel,Excel.BasicCardLayout,N/A,Interface,Fine,false
excel,Excel.BasicCardLayout,"layout",Property,Good,false
excel,Excel.BasicCompactLayout,N/A,Interface,Fine,false
excel,Excel.BasicCompactLayout,"icon",Property,Great,false
excel,Excel.BasicDataValidation,N/A,Interface,Fine,false
excel,Excel.BasicDataValidation,"formula1",Property,Excellent,false
excel,Excel.BasicDataValidation,"formula2",Property,Excellent,false
excel,Excel.BasicDataValidation,"operator",Property,Great,false
excel,Excel.BasicViewLayouts,N/A,Interface,Fine,false
excel,Excel.BasicViewLayouts,"card",Property,Excellent,false
excel,Excel.BasicViewLayouts,"compact",Property,Great,false
excel,Excel.Binding,N/A,Class,Fine,false
excel,Excel.Binding,"context",Property,Excellent,false
excel,Excel.Binding,"id",Property,Good,false
excel,Excel.Binding,"type",Property,Great,false
excel,Excel.Binding,"delete()",Method,Poor,false
excel,Excel.Binding,"getRange()",Method,Excellent,false
excel,Excel.Binding,"getTable()",Method,Excellent,false
excel,Excel.Binding,"getText()",Method,Excellent,false
excel,Excel.Binding,"load(options)",Method,Great,false
excel,Excel.Binding,"load(propertyNames)",Method,Great,false
excel,Excel.Binding,"load(propertyNamesAndPaths)",Method,Great,false
excel,Excel.Binding,"toJSON()",Method,Excellent,false
excel,Excel.BindingCollection,N/A,Class,Fine,false
excel,Excel.BindingCollection,"context",Property,Excellent,false
excel,Excel.BindingCollection,"count",Property,Great,false
excel,Excel.BindingCollection,"items",Property,Great,false
excel,Excel.BindingCollection,"add(range, bindingType, id)",Method,Fine,false
excel,Excel.BindingCollection,"add(range, bindingType, id)",Method,Fine,false
excel,Excel.BindingCollection,"addFromNamedItem(name, bindingType, id)",Method,Excellent,false
excel,Excel.BindingCollection,"addFromNamedItem(name, bindingType, id)",Method,Excellent,false
excel,Excel.BindingCollection,"addFromSelection(bindingType, id)",Method,Excellent,false
excel,Excel.BindingCollection,"addFromSelection(bindingType, id)",Method,Excellent,false
excel,Excel.BindingCollection,"getCount()",Method,Fine,false
excel,Excel.BindingCollection,"getItem(id)",Method,Poor,false
excel,Excel.BindingCollection,"getItemAt(index)",Method,Fine,false
excel,Excel.BindingCollection,"getItemOrNullObject(id)",Method,Excellent,false
excel,Excel.BindingCollection,"load(options)",Method,Great,false
excel,Excel.BindingCollection,"load(propertyNames)",Method,Great,false
excel,Excel.BindingCollection,"load(propertyNamesAndPaths)",Method,Great,false
excel,Excel.BindingCollection,"toJSON()",Method,Excellent,false
excel,Excel.BindingDataChangedEventArgs,N/A,Interface,Fine,false
excel,Excel.BindingDataChangedEventArgs,"binding",Property,Excellent,false
excel,Excel.BindingSelectionChangedEventArgs,N/A,Interface,Excellent,false
excel,Excel.BindingSelectionChangedEventArgs,"binding",Property,Excellent,false
excel,Excel.BindingSelectionChangedEventArgs,"columnCount",Property,Good,false
excel,Excel.BindingSelectionChangedEventArgs,"rowCount",Property,Good,false
excel,Excel.BindingSelectionChangedEventArgs,"startColumn",Property,Great,false
excel,Excel.BindingSelectionChangedEventArgs,"startRow",Property,Great,false
excel,Excel.BindingType,N/A,Enum,Missing,false
excel,Excel.BindingType,"range",EnumField,Great,false
excel,Excel.BindingType,"table",EnumField,Great,false
excel,Excel.BindingType,"text",EnumField,Great,false
excel,Excel.BlockedErrorCellValue,N/A,Interface,Good,false
excel,Excel.BlockedErrorCellValue,"basicType",Property,Excellent,false
excel,Excel.BlockedErrorCellValue,"basicValue",Property,Excellent,false
excel,Excel.BlockedErrorCellValue,"errorSubType",Property,Great,false
excel,Excel.BlockedErrorCellValue,"errorType",Property,Great,false
excel,Excel.BlockedErrorCellValue,"type",Property,Good,false
excel,Excel.BlockedErrorCellValueSubType,N/A,Enum,Good,false
excel,Excel.BlockedErrorCellValueSubType,"dataTypePrivacySetting",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"dataTypeRestrictedDomain",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"dataTypeUnsupportedApp",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"environmentConnectionExceedQuota",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"environmentExceedsComputeResourceCountDaily",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"environmentExceedsComputeResourceEver",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"environmentExceedsQuota",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"environmentExceedsQuotaDaily",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"environmentExceedsQuotaMonthly",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"environmentExceedsTakerQuotaMonthly",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"externalLinksGeneric",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"imageDownloadBlocked",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"imageExceedsSizeLimit",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"imageExceedsTotalSizeLimit",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"imageInvalidUrlNonHttps",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"noLicense",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"pythonFunction",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"pythonUnsupportedOnThisPlatform",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"richDataLinkDisabled",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"signInError",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"unknown",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"unmetRequirements",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"unsupportedEnvironment",EnumField,Excellent,false
excel,Excel.BlockedErrorCellValueSubType,"unsupportedInCalculationMode",EnumField,Excellent,false
